FECHA,TOTAL,AÑO,MES,DIA,Minimum Temperature,Maximum Temperature,Wind Speed,Precipitation
01/01/2017,54,2017,enero,domingo,12.7,22.2,3.6,0
02/01/2017,88,2017,enero,lunes,19.1,25.3,7.6,0
03/01/2017,68,2017,enero,martes,11.1,26.7,7.2,0
04/01/2017,64,2017,enero,miércoles,10.1,26.1,7.2,0
05/01/2017,71,2017,enero,jueves,10.1,24.1,3.6,0
06/01/2017,75,2017,enero,viernes,10.1,23.7,7.2,0
07/01/2017,69,2017,enero,sábado,17.1,17.1,0,0
08/01/2017,71,2017,enero,domingo,11.2,17.4,3.6,0
09/01/2017,73,2017,enero,lunes,10.1,23.7,16.6,0
10/01/2017,85,2017,enero,martes,7.1,23.9,7.2,0
11/01/2017,86,2017,enero,miércoles,6.9,25.7,7.2,0
12/01/2017,67,2017,enero,jueves,8.6,25.7,7.2,0
13/01/2017,79,2017,enero,viernes,11,25.7,9.4,0
14/01/2017,77,2017,enero,sábado,10.1,23.1,7.2,0
15/01/2017,91,2017,enero,domingo,21.9,24.1,7.2,0
16/01/2017,81,2017,enero,lunes,9.1,24.9,7.2,0
17/01/2017,79,2017,enero,martes,8,24.7,7.6,0
18/01/2017,75,2017,enero,miércoles,11.6,20.1,3.6,0
19/01/2017,81,2017,enero,jueves,13.9,23.4,10.8,0
20/01/2017,79,2017,enero,viernes,19.1,23.1,14.8,0
21/01/2017,75,2017,enero,sábado,8.9,24.2,10.8,0
22/01/2017,80,2017,enero,domingo,7.1,21.1,3.6,0
23/01/2017,85,2017,enero,lunes,7.1,27.4,7.2,0
24/01/2017,70,2017,enero,martes,23.7,26.2,10.8,0
25/01/2017,80,2017,enero,miércoles,6.1,24.9,10.8,0
26/01/2017,77,2017,enero,jueves,19.9,25.7,7.2,0
27/01/2017,85,2017,enero,viernes,22.4,27.2,7.2,0
28/01/2017,66,2017,enero,sábado,9.4,25.9,7.2,0
29/01/2017,89,2017,enero,domingo,10.9,22.1,7.2,0
30/01/2017,77,2017,enero,lunes,9.6,23.9,3.6,0
31/01/2017,72,2017,enero,martes,21.7,21.7,7.2,0
01/02/2017,84,2017,febrero,miércoles,11.1,23.4,7.2,0
02/02/2017,69,2017,febrero,jueves,11,11,3.4,0
03/02/2017,81,2017,febrero,viernes,11.1,25.9,11.2,0
04/02/2017,65,2017,febrero,sábado,11.1,21.1,7.2,0
05/02/2017,59,2017,febrero,domingo,13.7,27.1,11.2,0
06/02/2017,66,2017,febrero,lunes,11.1,26.3,7.9,0
07/02/2017,71,2017,febrero,martes,11.1,27.1,22.3,0
08/02/2017,74,2017,febrero,miércoles,10.4,28.9,3.6,0
09/02/2017,77,2017,febrero,jueves,12.6,29.9,7.2,0
10/02/2017,80,2017,febrero,viernes,27.4,27.4,7.2,0
11/02/2017,73,2017,febrero,sábado,8,29,13,0
12/02/2017,74,2017,febrero,domingo,14.3,28.6,7.6,0
13/02/2017,73,2017,febrero,lunes,12.1,28.4,14.8,0
14/02/2017,83,2017,febrero,martes,12.1,25.1,18.4,0
15/02/2017,65,2017,febrero,miércoles,9.9,24.2,14.8,0
16/02/2017,67,2017,febrero,jueves,10.4,23.7,18,0
17/02/2017,71,2017,febrero,viernes,12.6,23.2,10.8,0
18/02/2017,77,2017,febrero,sábado,6,24,32,0
19/02/2017,85,2017,febrero,domingo,13.4,22.4,22.3,0
20/02/2017,68,2017,febrero,lunes,11.6,23.9,7.2,0
21/02/2017,80,2017,febrero,martes,14.4,26.9,16.6,0
22/02/2017,65,2017,febrero,miércoles,12.6,12.6,3.6,0
23/02/2017,83,2017,febrero,jueves,14.6,27.4,7.2,0
24/02/2017,78,2017,febrero,viernes,12.6,28.1,7.2,0
25/02/2017,58,2017,febrero,sábado,12.1,28.1,7.6,0
26/02/2017,69,2017,febrero,domingo,10.1,24.6,3.6,0
27/02/2017,83,2017,febrero,lunes,13.4,29.4,14.8,0
28/02/2017,94,2017,febrero,martes,11.1,29.2,11.2,0
01/03/2017,81,2017,marzo,miércoles,14.6,28.1,9.4,0
02/03/2017,94,2017,marzo,jueves,15.6,28.9,7.2,0
03/03/2017,73,2017,marzo,viernes,17.1,23.6,9.4,0
04/03/2017,65,2017,marzo,sábado,15.6,23.1,7.2,0
05/03/2017,79,2017,marzo,domingo,17.6,26.9,13,0
06/03/2017,64,2017,marzo,lunes,17.1,25.1,3.6,0
07/03/2017,63,2017,marzo,martes,14.6,28.4,7.2,0
08/03/2017,51,2017,marzo,miércoles,17.6,25.1,20.5,0
09/03/2017,74,2017,marzo,jueves,16.6,27.9,7.2,0
10/03/2017,78,2017,marzo,viernes,17.1,28.4,9.4,0
11/03/2017,78,2017,marzo,sábado,15.6,22.1,14.8,0
12/03/2017,58,2017,marzo,domingo,22.4,24.6,3.6,0
13/03/2017,53,2017,marzo,lunes,12.6,25.2,7.2,0
14/03/2017,74,2017,marzo,martes,14.1,27.4,7.2,0
15/03/2017,63,2017,marzo,miércoles,14.9,25.1,7.2,0
16/03/2017,73,2017,marzo,jueves,11.1,24.1,7.2,0
17/03/2017,68,2017,marzo,viernes,16.1,25.5,7.2,0
18/03/2017,77,2017,marzo,sábado,12.1,30,7.6,0
19/03/2017,79,2017,marzo,domingo,18.1,28.1,3.6,0
20/03/2017,69,2017,marzo,lunes,11,30,3.6,0
21/03/2017,78,2017,marzo,martes,32.2,32.2,3.6,0
22/03/2017,69,2017,marzo,miércoles,18.6,30.3,7.6,0
23/03/2017,80,2017,marzo,jueves,19.1,30.9,7.2,0
24/03/2017,80,2017,marzo,viernes,16.1,30.3,10.8,0
25/03/2017,64,2017,marzo,sábado,18.1,31.1,7.2,0
26/03/2017,86,2017,marzo,domingo,18.6,30.9,10.8,0
27/03/2017,73,2017,marzo,lunes,16.1,30.2,7.6,0
28/03/2017,78,2017,marzo,martes,17.1,30.9,7.2,0
29/03/2017,85,2017,marzo,miércoles,16.1,28.9,11.9,0
30/03/2017,56,2017,marzo,jueves,14.6,29.9,7.6,0
31/03/2017,71,2017,marzo,viernes,16.1,26.5,7.9,0
01/04/2017,83,2017,abril,sábado,10.1,30.9,8.9,0
02/04/2017,68,2017,abril,domingo,17.6,29.7,10.9,0
03/04/2017,84,2017,abril,lunes,14.6,20.1,3.6,0
04/04/2017,70,2017,abril,martes,27.2,31.2,24.1,0
05/04/2017,80,2017,abril,miércoles,17.6,31.6,7.2,0
06/04/2017,94,2017,abril,jueves,20.1,27.9,3.6,0
07/04/2017,68,2017,abril,viernes,15.1,31.6,10.8,0
08/04/2017,83,2017,abril,sábado,16,32,10.8,0
09/04/2017,68,2017,abril,domingo,21.7,31.9,10.8,0
10/04/2017,64,2017,abril,lunes,14.1,21.1,5.4,0
11/04/2017,69,2017,abril,martes,20.5,32.1,37.1,0
12/04/2017,67,2017,abril,miércoles,20.1,20.1,3.6,0
13/04/2017,59,2017,abril,jueves,19.1,26.1,5.4,0
14/04/2017,57,2017,abril,viernes,19.1,24.1,3.4,0
15/04/2017,73,2017,abril,sábado,19.6,31.6,11.2,0
16/04/2017,63,2017,abril,domingo,28.6,28.6,7.2,0
17/04/2017,72,2017,abril,lunes,24.1,24.1,11.2,0
18/04/2017,56,2017,abril,martes,18.1,29.1,22.3,0
19/04/2017,71,2017,abril,miércoles,18.1,31.1,7.2,0
20/04/2017,65,2017,abril,jueves,19.6,19.6,3.6,0
21/04/2017,62,2017,abril,viernes,16.1,32.7,14.8,0
22/04/2017,59,2017,abril,sábado,12,33,12,0
23/04/2017,69,2017,abril,domingo,24.1,29.1,11.2,0
24/04/2017,53,2017,abril,lunes,21.1,29.7,7.6,0
25/04/2017,72,2017,abril,martes,19.1,29.3,11.3,0
26/04/2017,61,2017,abril,miércoles,17.1,30,7.2,0
27/04/2017,66,2017,abril,jueves,13.1,27.9,3.6,0
28/04/2017,71,2017,abril,viernes,18.6,29.4,10.8,0
29/04/2017,53,2017,abril,sábado,8,32.1,7.2,0
30/04/2017,59,2017,abril,domingo,19.4,32.4,18.4,0
01/05/2017,67,2017,mayo,lunes,19.1,32.1,33.5,0
02/05/2017,76,2017,mayo,martes,30.7,32.9,7.2,0
03/05/2017,54,2017,mayo,miércoles,15.1,32.7,13,0
04/05/2017,82,2017,mayo,jueves,19.1,32.7,13,0
05/05/2017,67,2017,mayo,viernes,21.4,32.3,7.2,0
06/05/2017,61,2017,mayo,sábado,22.1,32.9,7.6,0
07/05/2017,72,2017,mayo,domingo,18.1,31.9,10.8,0
08/05/2017,68,2017,mayo,lunes,20.5,30.2,10.8,0
09/05/2017,77,2017,mayo,martes,20.5,32.4,18.4,0
10/05/2017,51,2017,mayo,miércoles,21.6,32.1,7.2,0
11/05/2017,51,2017,mayo,jueves,22.1,34.3,11.3,0
12/05/2017,75,2017,mayo,viernes,22.4,33.2,10.8,0
13/05/2017,72,2017,mayo,sábado,23,32,9,0
14/05/2017,61,2017,mayo,domingo,26.1,32.3,8.6,0
15/05/2017,75,2017,mayo,lunes,21.1,34.1,8.3,0
16/05/2017,71,2017,mayo,martes,21.1,34.7,7.6,0
17/05/2017,50,2017,mayo,miércoles,23.6,34.6,10.8,0
18/05/2017,64,2017,mayo,jueves,19.1,35.4,10.8,0
19/05/2017,66,2017,mayo,viernes,24.2,34.1,10.8,0
20/05/2017,66,2017,mayo,sábado,14.1,34.6,7.2,0
21/05/2017,70,2017,mayo,domingo,22.6,36.4,7.2,0
22/05/2017,71,2017,mayo,lunes,22.1,34.9,7.2,0
23/05/2017,70,2017,mayo,martes,22.1,33.1,24.1,0
24/05/2017,75,2017,mayo,miércoles,18.1,33.1,7.2,0
25/05/2017,81,2017,mayo,jueves,22.4,33.4,7.2,0
26/05/2017,65,2017,mayo,viernes,22.6,35.4,7.2,0
27/05/2017,65,2017,mayo,sábado,22.1,33.6,7.2,0
28/05/2017,64,2017,mayo,domingo,21.1,33.1,18.4,0
29/05/2017,69,2017,mayo,lunes,23.1,32.7,7.2,0
30/05/2017,60,2017,mayo,martes,22.6,32.2,7.2,0
31/05/2017,75,2017,mayo,miércoles,22.7,32.2,5.4,0
01/06/2017,69,2017,junio,jueves,20.8,32.7,7.2,0
02/06/2017,63,2017,junio,viernes,23.1,33.9,7.2,0
03/06/2017,63,2017,junio,sábado,20.1,33.6,13,0
