FECHA,TOTAL,AÑO,MES,DIA,DIA2,Minimum Temperature,Maximum Temperature,Wind Speed,Precipitation
01/01/2017,54,2017,enero,01,domingo,12.7,22.2,3.6,0
02/01/2017,88,2017,enero,02,lunes,19.1,25.3,7.6,0
03/01/2017,68,2017,enero,03,martes,11.1,26.7,7.2,0
04/01/2017,64,2017,enero,04,miércoles,10.1,26.1,7.2,0
05/01/2017,71,2017,enero,05,jueves,10.1,24.1,3.6,0
06/01/2017,75,2017,enero,06,viernes,10.1,23.7,7.2,0
07/01/2017,69,2017,enero,07,sábado,17.1,17.1,0,0
08/01/2017,71,2017,enero,08,domingo,11.2,17.4,3.6,0
09/01/2017,73,2017,enero,09,lunes,10.1,23.7,16.6,0
10/01/2017,85,2017,enero,10,martes,7.1,23.9,7.2,0
11/01/2017,86,2017,enero,11,miércoles,6.9,25.7,7.2,0
12/01/2017,67,2017,enero,12,jueves,8.6,25.7,7.2,0
13/01/2017,79,2017,enero,13,viernes,11,25.7,9.4,0
14/01/2017,77,2017,enero,14,sábado,10.1,23.1,7.2,0
15/01/2017,91,2017,enero,15,domingo,21.9,24.1,7.2,0
16/01/2017,81,2017,enero,16,lunes,9.1,24.9,7.2,0
17/01/2017,79,2017,enero,17,martes,8,24.7,7.6,0
18/01/2017,75,2017,enero,18,miércoles,11.6,20.1,3.6,0
19/01/2017,81,2017,enero,19,jueves,13.9,23.4,10.8,0
20/01/2017,79,2017,enero,20,viernes,19.1,23.1,14.8,0
21/01/2017,75,2017,enero,21,sábado,8.9,24.2,10.8,0
22/01/2017,80,2017,enero,22,domingo,7.1,21.1,3.6,0
23/01/2017,85,2017,enero,23,lunes,7.1,27.4,7.2,0
24/01/2017,70,2017,enero,24,martes,23.7,26.2,10.8,0
25/01/2017,80,2017,enero,25,miércoles,6.1,24.9,10.8,0
26/01/2017,77,2017,enero,26,jueves,19.9,25.7,7.2,0
27/01/2017,85,2017,enero,27,viernes,22.4,27.2,7.2,0
28/01/2017,66,2017,enero,28,sábado,9.4,25.9,7.2,0
29/01/2017,89,2017,enero,29,domingo,10.9,22.1,7.2,0
30/01/2017,77,2017,enero,30,lunes,9.6,23.9,3.6,0
31/01/2017,72,2017,enero,31,martes,21.7,21.7,7.2,0
01/02/2017,84,2017,febrero,01,miércoles,11.1,23.4,7.2,0
02/02/2017,69,2017,febrero,02,jueves,11,11,3.4,0
03/02/2017,81,2017,febrero,03,viernes,11.1,25.9,11.2,0
04/02/2017,65,2017,febrero,04,sábado,11.1,21.1,7.2,0
05/02/2017,59,2017,febrero,05,domingo,13.7,27.1,11.2,0
06/02/2017,66,2017,febrero,06,lunes,11.1,26.3,7.9,0
07/02/2017,71,2017,febrero,07,martes,11.1,27.1,22.3,0
08/02/2017,74,2017,febrero,08,miércoles,10.4,28.9,3.6,0
09/02/2017,77,2017,febrero,09,jueves,12.6,29.9,7.2,0
10/02/2017,80,2017,febrero,10,viernes,27.4,27.4,7.2,0
11/02/2017,73,2017,febrero,11,sábado,8,29,13,0
12/02/2017,74,2017,febrero,12,domingo,14.3,28.6,7.6,0
13/02/2017,73,2017,febrero,13,lunes,12.1,28.4,14.8,0
14/02/2017,83,2017,febrero,14,martes,12.1,25.1,18.4,0
15/02/2017,65,2017,febrero,15,miércoles,9.9,24.2,14.8,0
16/02/2017,67,2017,febrero,16,jueves,10.4,23.7,18,0
17/02/2017,71,2017,febrero,17,viernes,12.6,23.2,10.8,0
18/02/2017,77,2017,febrero,18,sábado,6,24,32,0
19/02/2017,85,2017,febrero,19,domingo,13.4,22.4,22.3,0
20/02/2017,68,2017,febrero,20,lunes,11.6,23.9,7.2,0
21/02/2017,80,2017,febrero,21,martes,14.4,26.9,16.6,0
22/02/2017,65,2017,febrero,22,miércoles,12.6,12.6,3.6,0
23/02/2017,83,2017,febrero,23,jueves,14.6,27.4,7.2,0
24/02/2017,78,2017,febrero,24,viernes,12.6,28.1,7.2,0
25/02/2017,58,2017,febrero,25,sábado,12.1,28.1,7.6,0
26/02/2017,69,2017,febrero,26,domingo,10.1,24.6,3.6,0
27/02/2017,83,2017,febrero,27,lunes,13.4,29.4,14.8,0
28/02/2017,94,2017,febrero,28,martes,11.1,29.2,11.2,0
01/03/2017,81,2017,marzo,01,miércoles,14.6,28.1,9.4,0
02/03/2017,94,2017,marzo,02,jueves,15.6,28.9,7.2,0
03/03/2017,73,2017,marzo,03,viernes,17.1,23.6,9.4,0
04/03/2017,65,2017,marzo,04,sábado,15.6,23.1,7.2,0
05/03/2017,79,2017,marzo,05,domingo,17.6,26.9,13,0
06/03/2017,64,2017,marzo,06,lunes,17.1,25.1,3.6,0
07/03/2017,63,2017,marzo,07,martes,14.6,28.4,7.2,0
08/03/2017,51,2017,marzo,08,miércoles,17.6,25.1,20.5,0
09/03/2017,74,2017,marzo,09,jueves,16.6,27.9,7.2,0
10/03/2017,78,2017,marzo,10,viernes,17.1,28.4,9.4,0
11/03/2017,78,2017,marzo,11,sábado,15.6,22.1,14.8,0
12/03/2017,58,2017,marzo,12,domingo,22.4,24.6,3.6,0
13/03/2017,53,2017,marzo,13,lunes,12.6,25.2,7.2,0
14/03/2017,74,2017,marzo,14,martes,14.1,27.4,7.2,0
15/03/2017,63,2017,marzo,15,miércoles,14.9,25.1,7.2,0
16/03/2017,73,2017,marzo,16,jueves,11.1,24.1,7.2,0
17/03/2017,68,2017,marzo,17,viernes,16.1,25.5,7.2,0
18/03/2017,77,2017,marzo,18,sábado,12.1,30,7.6,0
19/03/2017,79,2017,marzo,19,domingo,18.1,28.1,3.6,0
20/03/2017,69,2017,marzo,20,lunes,11,30,3.6,0
21/03/2017,78,2017,marzo,21,martes,32.2,32.2,3.6,0
22/03/2017,69,2017,marzo,22,miércoles,18.6,30.3,7.6,0
23/03/2017,80,2017,marzo,23,jueves,19.1,30.9,7.2,0
24/03/2017,80,2017,marzo,24,viernes,16.1,30.3,10.8,0
25/03/2017,64,2017,marzo,25,sábado,18.1,31.1,7.2,0
26/03/2017,86,2017,marzo,26,domingo,18.6,30.9,10.8,0
27/03/2017,73,2017,marzo,27,lunes,16.1,30.2,7.6,0
28/03/2017,78,2017,marzo,28,martes,17.1,30.9,7.2,0
29/03/2017,85,2017,marzo,29,miércoles,16.1,28.9,11.9,0
30/03/2017,56,2017,marzo,30,jueves,14.6,29.9,7.6,0
31/03/2017,71,2017,marzo,31,viernes,16.1,26.5,7.9,0
01/04/2017,83,2017,abril,01,sábado,10.1,30.9,8.9,0
02/04/2017,68,2017,abril,02,domingo,17.6,29.7,10.9,0
03/04/2017,84,2017,abril,03,lunes,14.6,20.1,3.6,0
04/04/2017,70,2017,abril,04,martes,27.2,31.2,24.1,0
05/04/2017,80,2017,abril,05,miércoles,17.6,31.6,7.2,0
06/04/2017,94,2017,abril,06,jueves,20.1,27.9,3.6,0
07/04/2017,68,2017,abril,07,viernes,15.1,31.6,10.8,0
08/04/2017,83,2017,abril,08,sábado,16,32,10.8,0
09/04/2017,68,2017,abril,09,domingo,21.7,31.9,10.8,0
10/04/2017,64,2017,abril,10,lunes,14.1,21.1,5.4,0
11/04/2017,69,2017,abril,11,martes,20.5,32.1,37.1,0
12/04/2017,67,2017,abril,12,miércoles,20.1,20.1,3.6,0
13/04/2017,59,2017,abril,13,jueves,19.1,26.1,5.4,0
14/04/2017,57,2017,abril,14,viernes,19.1,24.1,3.4,0
15/04/2017,73,2017,abril,15,sábado,19.6,31.6,11.2,0
16/04/2017,63,2017,abril,16,domingo,28.6,28.6,7.2,0
17/04/2017,72,2017,abril,17,lunes,24.1,24.1,11.2,0
18/04/2017,56,2017,abril,18,martes,18.1,29.1,22.3,0
19/04/2017,71,2017,abril,19,miércoles,18.1,31.1,7.2,0
20/04/2017,65,2017,abril,20,jueves,19.6,19.6,3.6,0
21/04/2017,62,2017,abril,21,viernes,16.1,32.7,14.8,0
22/04/2017,59,2017,abril,22,sábado,12,33,12,0
23/04/2017,69,2017,abril,23,domingo,24.1,29.1,11.2,0
24/04/2017,53,2017,abril,24,lunes,21.1,29.7,7.6,0
25/04/2017,72,2017,abril,25,martes,19.1,29.3,11.3,0
26/04/2017,61,2017,abril,26,miércoles,17.1,30,7.2,0
27/04/2017,66,2017,abril,27,jueves,13.1,27.9,3.6,0
28/04/2017,71,2017,abril,28,viernes,18.6,29.4,10.8,0
29/04/2017,53,2017,abril,29,sábado,8,32.1,7.2,0
30/04/2017,59,2017,abril,30,domingo,19.4,32.4,18.4,0
01/05/2017,67,2017,mayo,01,lunes,19.1,32.1,33.5,0
02/05/2017,76,2017,mayo,02,martes,30.7,32.9,7.2,0
03/05/2017,54,2017,mayo,03,miércoles,15.1,32.7,13,0
04/05/2017,82,2017,mayo,04,jueves,19.1,32.7,13,0
05/05/2017,67,2017,mayo,05,viernes,21.4,32.3,7.2,0
06/05/2017,61,2017,mayo,06,sábado,22.1,32.9,7.6,0
07/05/2017,72,2017,mayo,07,domingo,18.1,31.9,10.8,0
08/05/2017,68,2017,mayo,08,lunes,20.5,30.2,10.8,0
09/05/2017,77,2017,mayo,09,martes,20.5,32.4,18.4,0
10/05/2017,51,2017,mayo,10,miércoles,21.6,32.1,7.2,0
11/05/2017,51,2017,mayo,11,jueves,22.1,34.3,11.3,0
12/05/2017,75,2017,mayo,12,viernes,22.4,33.2,10.8,0
13/05/2017,72,2017,mayo,13,sábado,23,32,9,0
14/05/2017,61,2017,mayo,14,domingo,26.1,32.3,8.6,0
15/05/2017,75,2017,mayo,15,lunes,21.1,34.1,8.3,0
16/05/2017,71,2017,mayo,16,martes,21.1,34.7,7.6,0
17/05/2017,50,2017,mayo,17,miércoles,23.6,34.6,10.8,0
18/05/2017,64,2017,mayo,18,jueves,19.1,35.4,10.8,0
19/05/2017,66,2017,mayo,19,viernes,24.2,34.1,10.8,0
20/05/2017,66,2017,mayo,20,sábado,14.1,34.6,7.2,0
21/05/2017,70,2017,mayo,21,domingo,22.6,36.4,7.2,0
22/05/2017,71,2017,mayo,22,lunes,22.1,34.9,7.2,0
23/05/2017,70,2017,mayo,23,martes,22.1,33.1,24.1,0
24/05/2017,75,2017,mayo,24,miércoles,18.1,33.1,7.2,0
25/05/2017,81,2017,mayo,25,jueves,22.4,33.4,7.2,0
26/05/2017,65,2017,mayo,26,viernes,22.6,35.4,7.2,0
27/05/2017,65,2017,mayo,27,sábado,22.1,33.6,7.2,0
28/05/2017,64,2017,mayo,28,domingo,21.1,33.1,18.4,0
29/05/2017,69,2017,mayo,29,lunes,23.1,32.7,7.2,0
30/05/2017,60,2017,mayo,30,martes,22.6,32.2,7.2,0
31/05/2017,75,2017,mayo,31,miércoles,22.7,32.2,5.4,0
01/06/2017,69,2017,junio,01,jueves,20.8,32.7,7.2,0
02/06/2017,63,2017,junio,02,viernes,23.1,33.9,7.2,0
03/06/2017,63,2017,junio,03,sábado,20.1,33.6,13,0
04/06/2017,71,2017,junio,04,domingo,19.1,34.1,5.4,0
05/06/2017,72,2017,junio,05,lunes,22.1,32.9,7.6,0
06/06/2017,73,2017,junio,06,martes,23.1,34.3,7.2,0
07/06/2017,74,2017,junio,07,miércoles,22.6,31.9,7.2,0
08/06/2017,62,2017,junio,08,jueves,22.6,31.2,7.2,0
09/06/2017,76,2017,junio,09,viernes,20.1,32.4,7.6,0
10/06/2017,62,2017,junio,10,sábado,21,30,7.2,0
11/06/2017,73,2017,junio,11,domingo,20.7,30.2,7.2,0
12/06/2017,76,2017,junio,12,lunes,20.5,31.9,7.2,0
13/06/2017,76,2017,junio,13,martes,23.1,32.9,3.6,0
14/06/2017,53,2017,junio,14,miércoles,24.1,31.3,7.4,0
15/06/2017,79,2017,junio,15,jueves,24,31.1,9.4,0
16/06/2017,68,2017,junio,16,viernes,23.6,32.7,7.2,0
17/06/2017,63,2017,junio,17,sábado,18.1,33,7.4,0
18/06/2017,61,2017,junio,18,domingo,23.7,32.4,20.5,0
19/06/2017,68,2017,junio,19,lunes,23.6,32.9,14.8,0
