FECHA,TOTAL,ANIO,MES,DIA,DIA2,Tmin,Tmax,Wind,Lluvia
01/01/2017,54,2017,1,1,7,12.7,22.2,3.6,0
02/01/2017,88,2017,1,2,1,19.1,25.3,7.6,0
03/01/2017,68,2017,1,3,2,11.1,26.7,7.2,0
04/01/2017,64,2017,1,4,3,10.1,26.1,7.2,0
05/01/2017,71,2017,1,5,4,10.1,24.1,3.6,0
06/01/2017,75,2017,1,6,5,10.1,23.7,7.2,0
07/01/2017,69,2017,1,7,6,17.1,17.1,0,0
08/01/2017,71,2017,1,8,7,11.2,17.4,3.6,0
09/01/2017,73,2017,1,9,1,10.1,23.7,16.6,0
10/01/2017,85,2017,1,10,2,7.1,23.9,7.2,0
11/01/2017,86,2017,1,11,3,6.9,25.7,7.2,0
12/01/2017,67,2017,1,12,4,8.6,25.7,7.2,0
13/01/2017,79,2017,1,13,5,11,25.7,9.4,0
14/01/2017,77,2017,1,14,6,10.1,23.1,7.2,0
15/01/2017,91,2017,1,15,7,21.9,24.1,7.2,0
16/01/2017,81,2017,1,16,1,9.1,24.9,7.2,0
17/01/2017,79,2017,1,17,2,8,24.7,7.6,0
18/01/2017,75,2017,1,18,3,11.6,20.1,3.6,0
19/01/2017,81,2017,1,19,4,13.9,23.4,10.8,0
20/01/2017,79,2017,1,20,5,19.1,23.1,14.8,0
21/01/2017,75,2017,1,21,6,8.9,24.2,10.8,0
22/01/2017,80,2017,1,22,7,7.1,21.1,3.6,0
23/01/2017,85,2017,1,23,1,7.1,27.4,7.2,0
24/01/2017,70,2017,1,24,2,23.7,26.2,10.8,0
25/01/2017,80,2017,1,25,3,6.1,24.9,10.8,0
26/01/2017,77,2017,1,26,4,19.9,25.7,7.2,0
27/01/2017,85,2017,1,27,5,22.4,27.2,7.2,0
28/01/2017,66,2017,1,28,6,9.4,25.9,7.2,0
29/01/2017,89,2017,1,29,7,10.9,22.1,7.2,0
30/01/2017,77,2017,1,30,1,9.6,23.9,3.6,0
31/01/2017,72,2017,1,31,2,21.7,21.7,7.2,0
01/02/2017,84,2017,2,1,3,11.1,23.4,7.2,0
02/02/2017,69,2017,2,2,4,11,11,3.4,0
03/02/2017,81,2017,2,3,5,11.1,25.9,11.2,0
04/02/2017,65,2017,2,4,6,11.1,21.1,7.2,0
05/02/2017,59,2017,2,5,7,13.7,27.1,11.2,0
06/02/2017,66,2017,2,6,1,11.1,26.3,7.9,0
07/02/2017,71,2017,2,7,2,11.1,27.1,22.3,0
08/02/2017,74,2017,2,8,3,10.4,28.9,3.6,0
09/02/2017,77,2017,2,9,4,12.6,29.9,7.2,0
10/02/2017,80,2017,2,10,5,27.4,27.4,7.2,0
11/02/2017,73,2017,2,11,6,8,29,13,0
12/02/2017,74,2017,2,12,7,14.3,28.6,7.6,0
13/02/2017,73,2017,2,13,1,12.1,28.4,14.8,0
14/02/2017,83,2017,2,14,2,12.1,25.1,18.4,0
15/02/2017,65,2017,2,15,3,9.9,24.2,14.8,0
16/02/2017,67,2017,2,16,4,10.4,23.7,18,0
17/02/2017,71,2017,2,17,5,12.6,23.2,10.8,0
18/02/2017,77,2017,2,18,6,6,24,32,0
19/02/2017,85,2017,2,19,7,13.4,22.4,22.3,0
20/02/2017,68,2017,2,20,1,11.6,23.9,7.2,0
21/02/2017,80,2017,2,21,2,14.4,26.9,16.6,0
22/02/2017,65,2017,2,22,3,12.6,12.6,3.6,0
23/02/2017,83,2017,2,23,4,14.6,27.4,7.2,0
24/02/2017,78,2017,2,24,5,12.6,28.1,7.2,0
25/02/2017,58,2017,2,25,6,12.1,28.1,7.6,0
26/02/2017,69,2017,2,26,7,10.1,24.6,3.6,0
27/02/2017,83,2017,2,27,1,13.4,29.4,14.8,0
28/02/2017,94,2017,2,28,2,11.1,29.2,11.2,0
01/03/2017,81,2017,3,1,3,14.6,28.1,9.4,0
02/03/2017,94,2017,3,2,4,15.6,28.9,7.2,0
03/03/2017,73,2017,3,3,5,17.1,23.6,9.4,0
04/03/2017,65,2017,3,4,6,15.6,23.1,7.2,0
05/03/2017,79,2017,3,5,7,17.6,26.9,13,0
06/03/2017,64,2017,3,6,1,17.1,25.1,3.6,0
07/03/2017,63,2017,3,7,2,14.6,28.4,7.2,0
08/03/2017,51,2017,3,8,3,17.6,25.1,20.5,0
09/03/2017,74,2017,3,9,4,16.6,27.9,7.2,0
10/03/2017,78,2017,3,10,5,17.1,28.4,9.4,0
11/03/2017,78,2017,3,11,6,15.6,22.1,14.8,0
12/03/2017,58,2017,3,12,7,22.4,24.6,3.6,0
13/03/2017,53,2017,3,13,1,12.6,25.2,7.2,0
14/03/2017,74,2017,3,14,2,14.1,27.4,7.2,0
15/03/2017,63,2017,3,15,3,14.9,25.1,7.2,0
16/03/2017,73,2017,3,16,4,11.1,24.1,7.2,0
17/03/2017,68,2017,3,17,5,16.1,25.5,7.2,0
18/03/2017,77,2017,3,18,6,12.1,30,7.6,0
19/03/2017,79,2017,3,19,7,18.1,28.1,3.6,0
20/03/2017,69,2017,3,20,1,11,30,3.6,0
21/03/2017,78,2017,3,21,2,32.2,32.2,3.6,0
22/03/2017,69,2017,3,22,3,18.6,30.3,7.6,0
23/03/2017,80,2017,3,23,4,19.1,30.9,7.2,0
24/03/2017,80,2017,3,24,5,16.1,30.3,10.8,0
25/03/2017,64,2017,3,25,6,18.1,31.1,7.2,0
26/03/2017,86,2017,3,26,7,18.6,30.9,10.8,0
27/03/2017,73,2017,3,27,1,16.1,30.2,7.6,0
28/03/2017,78,2017,3,28,2,17.1,30.9,7.2,0
29/03/2017,85,2017,3,29,3,16.1,28.9,11.9,0
30/03/2017,56,2017,3,30,4,14.6,29.9,7.6,0
31/03/2017,71,2017,3,31,5,16.1,26.5,7.9,0
01/04/2017,83,2017,4,1,6,10.1,30.9,8.9,0
02/04/2017,68,2017,4,2,7,17.6,29.7,10.9,0
03/04/2017,84,2017,4,3,1,14.6,20.1,3.6,0
04/04/2017,70,2017,4,4,2,27.2,31.2,24.1,0
05/04/2017,80,2017,4,5,3,17.6,31.6,7.2,0
06/04/2017,94,2017,4,6,4,20.1,27.9,3.6,0
07/04/2017,68,2017,4,7,5,15.1,31.6,10.8,0
08/04/2017,83,2017,4,8,6,16,32,10.8,0
09/04/2017,68,2017,4,9,7,21.7,31.9,10.8,0
10/04/2017,64,2017,4,10,1,14.1,21.1,5.4,0
11/04/2017,69,2017,4,11,2,20.5,32.1,37.1,0
12/04/2017,67,2017,4,12,3,20.1,20.1,3.6,0
13/04/2017,59,2017,4,13,4,19.1,26.1,5.4,0
14/04/2017,57,2017,4,14,5,19.1,24.1,3.4,0
15/04/2017,73,2017,4,15,6,19.6,31.6,11.2,0
16/04/2017,63,2017,4,16,7,28.6,28.6,7.2,0
17/04/2017,72,2017,4,17,1,24.1,24.1,11.2,0
18/04/2017,56,2017,4,18,2,18.1,29.1,22.3,0
19/04/2017,71,2017,4,19,3,18.1,31.1,7.2,0
20/04/2017,65,2017,4,20,4,19.6,19.6,3.6,0
21/04/2017,62,2017,4,21,5,16.1,32.7,14.8,0
22/04/2017,59,2017,4,22,6,12,33,12,0
23/04/2017,69,2017,4,23,7,24.1,29.1,11.2,0
