TOTAL,ANIO,MES,DIA,DIA2,Tmin,Tmax,Temperature,Relative Humidity,Wind Speed,Wind Direction,luna,
54,1,1,1,7,12.7,22.2,17.4,72.96,3.6,360,7.032391637,
88,1,1,2,1,19.1,25.3,22.6,42.87,7.6,91.5,13.22052359,
68,1,1,3,2,11.1,26.7,19.8,51.65,7.2,94.67,21.20271523,
64,1,1,4,3,10.1,26.1,19.9,47.11,7.2,90,30.73469575,
71,1,1,5,4,10.1,24.1,17.1,65.32,3.6,90,41.43888597,
75,1,1,6,5,10.1,23.7,16.9,63.4,7.2,90,52.8035611,
69,1,1,7,6,17.1,17.1,17.1,42.04,0,90,64.20607349,
71,1,1,8,7,11.2,17.4,14.3,59.77,3.6,120,74.96235011,
73,1,1,9,1,10.1,23.7,18.7,38.02,16.6,97.5,84.39703693,
85,1,1,10,2,7.1,23.9,17.1,49.73,7.2,83.33,91.92100282,
86,1,1,11,3,6.9,25.7,17.7,51.34,7.2,210,97.09890393,
67,1,1,12,4,8.6,25.7,19.6,47.96,7.2,116.67,99.69139986,
79,1,1,13,5,11,25.7,19.8,45.13,9.4,87.5,99.66398364,
77,1,1,14,6,10.1,23.1,17.9,54.87,7.2,150,97.1642058,
91,1,1,15,7,21.9,24.1,23,29.57,7.2,255,92.47731605,
81,1,1,16,1,9.1,24.9,18.5,55.48,7.2,280,85.97409711,
79,1,1,17,2,8,24.7,18.9,44.1,7.6,194.67,78.06335926,
75,1,1,18,3,11.6,20.1,15.8,79.78,3.6,190,69.15680653,
81,1,1,19,4,13.9,23.4,19.7,55.71,10.8,283.33,59.6483387,
79,1,1,20,5,19.1,23.1,21.6,38.84,14.8,230,49.90549804,
75,1,1,21,6,8.9,24.2,18.2,49.86,10.8,163.33,40.26872939,
80,1,1,22,7,7.1,21.1,14.1,39.6,3.6,60,31.05423685,
85,1,1,23,1,7.1,27.4,19,41.27,7.2,95,22.55757998,
70,1,1,24,2,23.7,26.2,24.9,26.42,10.8,170,15.05666842,
80,1,1,25,3,6.1,24.9,15.8,64.55,10.8,250,8.813672974,
77,1,1,26,4,19.9,25.7,22.9,37.94,7.2,130,4.075289132,
85,1,1,27,5,22.4,27.2,24.8,30.64,7.2,245,1.070031415,
66,1,1,28,6,9.4,25.9,18.5,45.68,7.2,179.67,0.000448786,
89,1,1,29,7,10.9,22.1,18.1,44.01,7.2,92.5,1.028080118,
77,1,1,30,1,9.6,23.9,17.6,53.8,3.6,73.33,4.250177845,
72,1,1,31,2,21.7,21.7,21.7,48.59,7.2,280,9.669844648,
84,1,2,1,3,11.1,23.4,16.4,73.39,7.2,170,17.16475266,
69,1,2,2,4,11,11,11,88.77,3.4,90,26.46286412,
81,1,2,3,5,11.1,25.9,21,43.87,11.2,110,37.13492244,
65,1,2,4,6,11.1,21.1,16.1,68.35,7.2,90,48.61152376,
59,1,2,5,7,13.7,27.1,22.1,39.29,11.2,193.33,60.2270225,
66,1,2,6,1,11.1,26.3,18.7,54.85,7.9,306,71.28481084,
71,1,2,7,2,11.1,27.1,22.1,37.42,22.3,152.5,81.13151873,
74,1,2,8,3,10.4,28.9,21.3,45.33,3.6,105,89.22440576,
77,1,2,9,4,12.6,29.9,22.5,43.06,7.2,100,95.17816714,
80,1,2,10,5,27.4,27.4,27.4,31.66,7.2,30,98.78371932,
73,1,2,11,6,8,29,22.85,51.98,8.09,180,99.99958339,
74,1,2,12,7,14.3,28.6,24,33.75,7.6,218.25,98.92316982,
73,1,2,13,1,12.1,28.4,23.3,42.14,14.8,180,95.75254742,
83,1,2,14,2,12.1,25.1,20.2,40.39,18.4,153.33,90.74880687,
65,1,2,15,3,9.9,24.2,19.8,44.08,14.8,156.67,84.20598103,
67,1,2,16,4,10.4,23.7,18,51.94,18,136.67,76.43136871,
71,1,2,17,5,12.6,23.2,18.9,51.13,10.8,150,67.73557067,
77,1,2,18,6,6,24,22.85,51.98,8.09,150,58.42949132,
85,1,2,19,7,13.4,22.4,19.7,51.46,22.3,184,48.82513628,
68,1,2,20,1,11.6,23.9,19.2,56.83,7.2,140,39.23778539,
80,1,2,21,2,14.4,26.9,21.4,26.46,16.6,108,29.98824739,
65,1,2,22,3,12.6,12.6,12.6,57.38,3.6,100,21.40461269,
83,1,2,23,4,14.6,27.4,22,49.44,7.2,123.33,13.82274369,
78,1,2,24,5,12.6,28.1,21.7,45,7.2,150,7.583745438,
58,1,2,25,6,12.1,28.1,21.4,36.59,7.6,136.67,3.025464078,
69,1,2,26,7,10.1,24.6,16.6,53.04,3.6,80,0.464631594,
83,1,2,27,1,13.4,29.4,24.1,38.67,14.8,156.67,0.167535499,
94,1,2,28,2,11.1,29.2,22.7,38.82,11.2,167.14,2.31043196,
81,1,3,1,3,14.6,28.1,23.5,35.39,9.4,240,6.935751783,
94,1,3,2,4,15.6,28.9,23.1,48.04,7.2,66.67,13.91474203,
73,1,3,3,5,17.1,23.6,20.6,51.39,9.4,90,22.9291318,
65,1,3,4,6,15.6,23.1,19.2,57.51,7.2,90,33.48178743,
79,1,3,5,7,17.6,26.9,22.8,38.19,13,173.8,44.93908122,
64,1,3,6,1,17.1,25.1,21.1,49.04,3.6,90,56.59824988,
63,1,3,7,2,14.6,28.4,23.1,50.49,7.2,153.33,67.76528571,
51,1,3,8,3,17.6,25.1,21.7,51.17,20.5,163.33,77.82620411,
74,1,3,9,4,16.6,27.9,23.1,52.81,7.2,133.33,86.29773977,
78,1,3,10,5,17.1,28.4,22.4,46.7,9.4,120,92.85077505,
78,1,3,11,6,15.6,22.1,19.9,57.7,14.8,123.33,97.30781056,
58,1,3,12,7,22.4,24.6,23.7,34.68,3.6,215,99.62166245,
53,1,3,13,1,12.6,25.2,20.4,54.5,7.2,110,99.84497504,
