Epoca: ,1-ene.-10,2010.0,,2455196.50,,,,e,ε_g,ϖ_g,L_o Luna,P_o Luna,N_o Luna,Año trópico,,,,,,,,Luna Nueva,Luna Llena,Mes Sinódico,,,
,,,,,,,,0.016705,279.557208,283.11,91.929336,130.143076,291.682547,365.242191,,,,,,,,0.28%,99.80%,29.5306,,,
Epoca 2014.0,1-ene.-00,,,2451544.50,,,,,,,,,,,,-0.1394717093,,,,,,,,,,,
2415018.500,,,T=,1.00,,,,,,,,,,,,,,,,,,,,,,,
Fecha,Dia Juliano,D (dias),,,,,M ʘ,Long. Ecl. ʘ,L,Mm,N,E_v,A_e,A_3,Mm´,E_c,A_4,L´,V,L´´ ,D ( º ),Fase,,,Dia Exacto de Fase,,
1-1-20 0:00,2458849.50,3653.00,4,Miércoles,Enero,1,"3,597.01",3880.0273,48225.3061,47688.2039,98.2420,-0.7781,-0.0097,-0.0193,47687.4547,1.3660,-0.0907,48225.8129,0.6003809159,48226.4133,44346.3860,29.97%,,66.3860,5.45,,1
2-1-20 0:00,2458850.50,3654.00,5,Jueves,Enero,2,"3,598.00",3881.0458,48238.4825,47701.2689,98.1890,-0.5663,-0.0065,-0.0129,47700.7219,-0.0792,0.0054,48237.8488,0.6409147945,48238.4897,44357.4439,39.13%,,77.4439,6.35,,2
3-1-20 0:00,2458851.50,3655.00,6,Viernes,Enero,3,"3,598.99",3882.0644,48251.6589,47714.3338,98.1360,-0.3328,-0.0033,-0.0065,47714.0109,-1.5225,0.1005,48249.9074,0.6578335557,48250.5652,44368.5008,48.69%,,88.5008,7.26,C. Creciente,3
4-1-20 0:00,2458852.50,3656.00,7,Sábado,Enero,4,"3,599.97",3883.0830,48264.8353,47727.3988,98.0831,-0.0865,-0.0001,-0.0002,47727.3126,-2.8855,0.1745,48262.0379,0.6502761113,48262.6882,44379.6052,58.34%,,99.6052,8.17,,4
5-1-20 0:00,2458853.50,3657.00,1,Domingo,Enero,5,"3,600.96",3884.1016,48278.0117,47740.4638,98.0301,0.1631,0.0031,0.0062,47740.6177,-4.0939,0.2115,48274.2893,0.6178586845,48274.9071,44390.8056,67.76%,,110.8056,9.09,,5
6-1-20 0:00,2458854.50,3658.00,2,Lunes,Enero,6,"3,601.94",3885.1201,48291.1881,47753.5288,97.9772,0.4065,0.0063,0.0125,47753.9165,-5.0822,0.2037,48286.7098,0.5607540416,48287.2706,44402.1504,76.61%,,122.1504,10.02,,6
7-1-20 0:00,2458855.50,3659.00,3,Martes,Enero,7,"3,602.93",3886.1387,48304.3645,47766.5938,97.9242,0.6342,0.0095,0.0189,47767.1996,-5.7972,0.1529,48299.3449,0.4798311432,48299.8247,44413.6860,84.54%,,133.6860,10.97,,7
8-1-20 0:00,2458856.50,3660.00,4,Miércoles,Enero,8,"3,603.91",3887.1572,48317.5409,47779.6588,97.8713,0.8376,0.0127,0.0253,47780.4584,-6.2016,0.0700,48312.2341,0.3768608359,48312.6110,44425.4538,91.18%,,145.4538,11.93,,8
9-1-20 0:00,2458857.50,3661.00,5,Jueves,Enero,9,"3,604.90",3888.1757,48330.7173,47792.7238,97.8183,1.0087,0.0159,0.0316,47793.6851,-6.2756,-0.0275,48325.4071,0.254768511,48325.6619,44437.4862,96.19%,,157.4862,12.92,,9
10-1-20 0:00,2458858.50,3662.00,6,Viernes,Enero,10,"3,605.89",3889.1941,48343.8937,47805.7888,97.7654,1.1411,0.0191,0.0379,47806.8730,-6.0179,-0.1189,48338.8790,0.1178760638,48338.9969,44449.8028,99.21%,,169.8028,13.93,Luna Llena,10
11-1-20 0:00,2458859.50,3663.00,7,Sábado,Enero,11,"3,606.87",3890.2125,48357.0701,47818.8538,97.7124,1.2297,0.0222,0.0443,47820.0170,-5.4452,-0.1854,48352.6470,-0.02796291177,48352.6190,44462.4065,99.96%,Luna Llena,182.4065,14.96,,11
12-1-20 0:00,2458860.50,3664.00,1,Domingo,Enero,12,"3,607.86",3891.2308,48370.2465,47831.9188,97.6595,1.2710,0.0254,0.0506,47833.1138,-4.5907,-0.2135,48366.6878,-0.1754475118,48366.5124,44475.2816,98.23%,,195.2816,16.02,,12
13-1-20 0:00,2458861.50,3665.00,2,Lunes,Enero,13,"3,608.84",3892.2490,48383.4229,47844.9838,97.6065,1.2634,0.0286,0.0569,47846.1617,-3.5018,-0.1980,48380.9579,-0.3162209742,48380.6417,44488.3927,93.99%,,208.3927,17.09,,13
14-1-20 0:00,2458862.50,3666.00,3,Martes,Enero,14,"3,609.83",3893.2672,48396.5993,47858.0488,97.5535,1.2073,0.0317,0.0632,47859.1611,-2.2371,-0.1423,48395.3954,-0.4415825313,48394.9538,44501.6867,87.34%,,221.6867,18.18,,14
15-1-20 0:00,2458863.50,3667.00,4,Miércoles,Enero,15,"3,610.81",3894.2852,48409.7757,47871.1138,97.5006,1.1047,0.0349,0.0694,47872.1142,-0.8628,-0.0582,48409.9246,-0.5434275101,48409.3811,44515.0959,78.61%,,235.0959,19.28,,15
16-1-20 0:00,2458864.50,3668.00,5,Jueves,Enero,16,"3,611.80",3895.3031,48422.9521,47884.1788,97.4476,0.9597,0.0380,0.0757,47885.0248,0.5508,0.0373,48424.4619,-0.6152272954,48423.8467,44528.5435,68.29%,,248.5435,20.39,,16
