,Date time,Minimum Temperature,Maximum Temperature,Wind Speed,Precipitation
0,01/01/2018,11.9,11.9,,0.0
1,01/02/2018,11.6,24.0,7.2,0.0
2,01/03/2018,23.7,23.7,3.6,0.0
3,01/04/2018,10.6,23.4,9.4,0.0
4,01/05/2018,10.6,26.1,11.2,0.0
5,01/06/2018,6.1,25.1,7.2,0.0
6,01/07/2018,10.1,20.8,3.6,0.0
7,01/08/2018,10.4,25.4,7.2,0.0
8,01/09/2018,9.1,24.9,7.2,0.0
9,01/10/2018,9.9,24.6,7.2,0.0
10,01/11/2018,10.1,25.1,11.2,0.0
11,01/12/2018,11.1,25.1,9.4,0.0
12,01/13/2018,6.6,26.6,7.2,0.0
13,01/14/2018,7.9,21.4,7.6,0.0
14,01/15/2018,5.4,5.4,,0.0
15,01/16/2018,7.1,23.9,7.2,0.0
16,01/17/2018,6.4,21.2,3.6,0.0
17,01/18/2018,8.6,23.7,7.2,0.0
18,01/19/2018,10.1,22.9,7.2,0.0
19,01/20/2018,9.6,24.6,7.2,0.0
20,01/21/2018,8.1,24.9,10.8,0.0
21,01/22/2018,8.7,23.7,3.6,0.0
22,01/23/2018,11.9,25.2,7.2,0.0
23,01/24/2018,12.6,25.6,7.2,0.0
24,01/25/2018,12.1,18.4,7.6,0.2
25,01/26/2018,12.1,23.7,7.2,0.0
26,01/27/2018,10.4,26.1,7.2,0.0
27,01/28/2018,20.1,24.6,7.2,0.0
28,01/29/2018,10.7,18.9,24.1,0.0
29,01/30/2018,14.6,17.1,7.6,0.0
30,01/31/2018,13.6,16.9,7.2,0.0
31,02/01/2018,8.6,20.4,3.6,0.0
32,02/02/2018,12.6,27.2,7.2,0.0
33,02/03/2018,13.6,24.1,3.6,0.0
34,02/04/2018,27.1,27.9,3.6,0.0
35,02/05/2018,26.9,26.9,3.6,0.0
36,02/06/2018,14.6,26.2,10.8,0.0
37,02/07/2018,10.1,24.6,13.0,0.0
38,02/08/2018,15.6,23.9,7.4,0.0
39,02/09/2018,13.6,16.9,3.6,1.0
40,02/10/2018,10.9,21.1,11.2,0.0
41,02/11/2018,20.1,22.6,3.7,0.0
42,02/12/2018,13.7,26.1,14.8,0.0
43,02/13/2018,10.1,26.9,7.2,0.0
44,02/14/2018,21.8,25.6,7.2,0.0
45,02/15/2018,16.6,27.1,3.6,0.0
46,02/16/2018,16.1,27.4,3.6,0.0
47,02/17/2018,16.1,28.1,9.4,0.0
48,02/18/2018,19.1,26.1,7.2,0.0
49,02/19/2018,12.1,25.9,7.2,0.0
50,02/20/2018,22.6,24.9,7.2,0.0
51,02/21/2018,22.1,25.1,13.0,0.0
52,02/22/2018,14.6,27.1,7.2,0.0
53,02/23/2018,15.6,27.7,7.2,0.0
54,02/24/2018,16.0,28.1,10.8,0.0
55,02/25/2018,22.1,22.1,5.4,0.0
56,02/26/2018,15.9,27.9,7.2,0.0
57,02/27/2018,15.1,28.1,7.6,0.0
58,02/28/2018,27.1,28.4,18.4,0.0
59,03/01/2018,15.2,29.1,18.4,0.0
60,03/02/2018,16.6,29.1,14.8,0.0
61,03/03/2018,17.1,29.6,7.2,0.0
62,03/04/2018,17.2,29.4,7.2,0.0
63,03/05/2018,15.1,29.1,7.6,0.0
64,03/06/2018,10.1,29.2,10.8,0.0
65,03/07/2018,15.6,30.0,3.6,0.0
66,03/08/2018,16.1,29.9,10.8,0.0
67,03/09/2018,15.1,29.7,10.8,0.0
68,03/10/2018,27.1,30.6,7.2,0.0
69,03/11/2018,16.4,32.1,7.2,0.0
70,03/12/2018,17.1,32.9,7.2,0.0
71,03/13/2018,13.1,31.9,10.8,0.0
72,03/14/2018,16.6,30.3,7.2,0.0
73,03/15/2018,16.1,28.4,10.8,0.0
74,03/16/2018,17.1,29.2,10.8,0.0
75,03/17/2018,16.1,29.6,7.2,0.0
76,03/18/2018,26.4,26.4,7.2,0.0
77,03/19/2018,15.1,30.3,14.4,0.0
78,03/20/2018,,,,
79,03/21/2018,16.6,32.1,9.4,0.0
80,03/22/2018,18.6,31.9,7.6,0.0
81,03/23/2018,18.6,33.2,7.2,0.0
82,03/24/2018,18.1,33.6,9.4,0.0
83,03/25/2018,18.6,32.1,7.2,0.0
84,03/26/2018,17.4,32.1,10.8,0.0
85,03/27/2018,18.6,31.0,7.3,0.0
86,03/28/2018,17.1,30.0,7.2,0.0
87,03/29/2018,17.6,28.4,7.2,0.0
88,03/30/2018,18.6,29.1,16.6,0.0
89,03/31/2018,18.1,30.6,24.1,0.0
90,04/01/2018,19.7,19.7,3.6,0.0
91,04/02/2018,20.1,30.8,10.9,0.0
92,04/03/2018,25.1,25.1,0.0,0.0
93,04/04/2018,10.1,30.1,13.0,0.0
94,04/05/2018,14.1,32.1,7.2,0.0
95,04/06/2018,25.1,30.1,20.5,0.0
96,04/07/2018,14.1,14.1,0.0,0.0
97,04/08/2018,19.1,19.1,3.6,0.0
98,04/09/2018,18.6,18.6,,0.0
99,04/10/2018,26.1,31.7,7.6,0.0
100,04/11/2018,18.6,29.7,7.2,0.0
101,04/12/2018,18.2,26.7,7.2,0.0
102,04/13/2018,11.1,29.2,10.8,0.0
103,04/14/2018,,,,
104,04/15/2018,18.9,30.3,7.2,0.0
105,04/16/2018,19.1,30.7,7.2,0.0
106,04/17/2018,28.4,31.2,10.8,0.0
107,04/18/2018,21.1,31.4,7.2,0.0
108,04/19/2018,20.8,32.1,9.4,0.0
109,04/20/2018,20.7,26.9,3.6,0.0
110,04/21/2018,21.1,21.1,5.4,0.0
111,04/22/2018,14.1,32.3,7.2,0.0
112,04/23/2018,21.6,33.2,10.8,0.0
113,04/24/2018,28.7,32.7,7.2,0.0
114,04/25/2018,21.1,33.1,11.2,0.0
115,04/26/2018,13.1,32.8,11.0,0.0
116,04/27/2018,20.8,32.6,13.0,0.0
117,04/28/2018,29.1,30.1,20.5,0.0
118,04/29/2018,27.9,31.2,10.8,0.0
119,04/30/2018,21.6,31.7,10.8,0.0
120,05/01/2018,15.1,30.1,9.4,0.0
121,05/02/2018,24.1,31.9,7.2,0.0
122,05/03/2018,21.4,28.7,7.1,0.0
123,05/04/2018,27.1,28.4,7.2,0.0
124,05/05/2018,,,,
125,05/06/2018,17.1,27.4,7.2,0.0
126,05/07/2018,21.7,28.9,7.2,0.0
127,05/08/2018,20.1,24.0,4.0,0.0
128,05/09/2018,20.1,26.4,3.6,0.0
129,05/10/2018,28.1,29.4,7.6,0.0
130,05/11/2018,19.4,28.9,7.2,0.0
131,05/12/2018,21.1,21.1,9.4,0.0
132,05/13/2018,21.7,31.3,6.7,0.0
133,05/14/2018,19.5,29.7,13.0,0.0
134,05/15/2018,,,,
135,05/16/2018,23.1,32.3,11.2,0.0
136,05/17/2018,23.9,31.1,11.2,0.0
