Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"zapopan","01/01/2018",11.9,11.9,11.9,9.9,87.55,,,,,,0,0,,12,80,1020.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","01/02/2018",11.6,24,18.4,8.6,56.02,,7.2,,110.33,,0,0,,12,10.4,1018.4,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/03/2018",23.7,23.7,23.7,7.4,35.15,,3.6,,30,,0,0,,12,60,1013.7,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/04/2018",10.6,23.4,18,7.4,54.28,,9.4,,137.5,,0,0,,11.4,15,1017.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/05/2018",10.6,26.1,20.9,5.7,45.37,,11.2,,187.25,,0,0,,13.1,10.3,1018.7,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/06/2018",6.1,25.1,17.3,5.3,54.76,,7.2,,90,,0,0,,13,0,1019.6,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/07/2018",10.1,20.8,15.4,7.8,65.15,,3.6,,190,,0,0,,12,5,1020.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/08/2018",10.4,25.4,17.9,6.2,55.84,,7.2,,150,,0,0,,12,35,1016.4,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","01/09/2018",9.1,24.9,18.2,4,47.69,,7.2,,93.33,,0,0,,12.1,13.1,1018.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/10/2018",9.9,24.6,18.9,8.1,54.55,,7.2,,290,,0,0,,12,0,1016.4,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/11/2018",10.1,25.1,19.3,2.1,41.42,,11.2,,210,,0,0,,13.6,20,1015.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/12/2018",11.1,25.1,18.6,-0.7,30.88,,9.4,,106.67,,0,0,,13.4,0,1017.7,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/13/2018",6.6,26.6,17.7,5.1,49.98,,7.2,,90,,0,0,,12,0,1020.9,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/14/2018",7.9,21.4,15.8,0.3,38.72,,7.6,,93.75,,0,0,,12.4,0,1023.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/15/2018",5.4,5.4,5.4,2.9,83.92,,,,,,0,0,,12,0,1025.7,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/16/2018",7.1,23.9,17,4,49.72,,7.2,,106.67,,0,0,,12,0,1020.6,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/17/2018",6.4,21.2,15.2,4.4,53.21,,3.6,,335,,0,0,,12,16.7,1022.3,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/18/2018",8.6,23.7,17,6.9,57.13,,7.2,,130,,0,0,,12,3.3,1019.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","01/19/2018",10.1,22.9,18,9.2,61.66,,7.2,,76.67,,0,0,,12,26.7,1017.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
